id;search_type;search_query;search_parameters;agency_id;provider_id;frequency;last_run_at;next_run_at;is_active;priority;results_count;total_runs;successful_runs;failed_runs;last_error;tags;notes;created_at;updated_at;created_by
ff64bdaa-bd86-4df9-a81e-56d6ae4f46a3;agency;"""MTA Long Island Rail Road"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""New York, NY""}";1f908e09-ecd0-42c1-862a-1f14a0aaf8a4;;daily;;2025-11-20 01:34:14.198954+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for MTA Long Island Rail Road;2025-11-20 01:34:14.198954+00;2025-11-20 01:34:14.198954+00;2babc540-acbb-4012-a198-971125628657
9b9e314d-086f-4adf-a194-fa00553256d0;agency;"""Access Services"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""El Monte, CA""}";6b6d383e-85cc-4aca-aa5b-0c52cbed0189;;daily;;2025-11-20 01:34:14.98095+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Access Services;2025-11-20 01:34:14.98095+00;2025-11-20 01:34:14.98095+00;2babc540-acbb-4012-a198-971125628657
be34dd5d-64ca-4c89-a7e4-f110ec4b980b;agency;"""Dallas Area Rapid Transit"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Dallas, TX""}";f838f316-3d08-4441-970f-ade36e0c2ae3;;daily;;2025-11-20 01:34:15.671208+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Dallas Area Rapid Transit;2025-11-20 01:34:15.671208+00;2025-11-20 01:34:15.671208+00;2babc540-acbb-4012-a198-971125628657
06e58a76-af4b-4463-b7d4-86f1248705e5;agency;"""Metra"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Chicago, IL""}";4420e720-e657-44db-aaea-7c10d556dd5c;;daily;;2025-11-20 01:34:16.36099+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Metra;2025-11-20 01:34:16.36099+00;2025-11-20 01:34:16.36099+00;2babc540-acbb-4012-a198-971125628657
a51f8032-b1b0-4d9c-acc6-b5b5fde61718;agency;"""Pace Suburban Bus"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Arlington Heights, IL""}";be7b517b-b3c3-41bd-b8db-4aaefb1b9753;;daily;;2025-11-20 01:34:17.091199+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Pace Suburban Bus;2025-11-20 01:34:17.091199+00;2025-11-20 01:34:17.091199+00;2babc540-acbb-4012-a198-971125628657
24336e45-b016-4a55-ae5d-69f40d12e94c;agency;"""San Diego Metropolitan Transit System"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""San Diego, CA""}";310791a5-eaa4-423d-9bf3-4fd1ffe3dc40;;daily;;2025-11-20 01:34:17.777146+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for San Diego Metropolitan Transit System;2025-11-20 01:34:17.777146+00;2025-11-20 01:34:17.777146+00;2babc540-acbb-4012-a198-971125628657
daa92660-ce45-4e91-8580-0da39b05fca7;agency;"""TriMet"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Portland, OR""}";9b08bfa5-fdd4-438f-a0f3-ed048003de68;;daily;;2025-11-20 01:34:18.477062+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for TriMet;2025-11-20 01:34:18.477062+00;2025-11-20 01:34:18.477062+00;2babc540-acbb-4012-a198-971125628657
c7cb63a9-53f8-4ef2-8994-cc0c849ce45b;agency;"""San Francisco Municipal Transportation Agency"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""San Francisco, CA""}";924c56eb-c215-4978-aae6-a4317b862755;;daily;;2025-11-20 01:34:19.177519+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for San Francisco Municipal Transportation Agency;2025-11-20 01:34:19.177519+00;2025-11-20 01:34:19.177519+00;2babc540-acbb-4012-a198-971125628657
4802b44b-7b02-4de4-adbc-62550eb6fce2;agency;"""Metropolitan Atlanta Rapid Transit Authority"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Atlanta, GA""}";57692d31-2c3e-4a4c-9fd7-9332b10fff2a;;daily;;2025-11-20 01:34:19.872857+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Metropolitan Atlanta Rapid Transit Authority;2025-11-20 01:34:19.872857+00;2025-11-20 01:34:19.872857+00;2babc540-acbb-4012-a198-971125628657
7a35b47f-fe3a-4e80-a2e5-b821d5c7c94f;agency;"""CalVans"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Visalia, CA""}";9a81d006-dda9-494b-b4f2-1da7835ae3bb;;daily;;2025-11-20 01:34:20.569259+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for CalVans;2025-11-20 01:34:20.569259+00;2025-11-20 01:34:20.569259+00;2babc540-acbb-4012-a198-971125628657
f956571f-213b-4d88-af1f-3875f79fce68;agency;"""City and County of Honolulu"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Honolulu, HI""}";8e360caa-76c3-4467-ac38-1802fac10bd9;;daily;;2025-11-20 01:34:21.26562+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for City and County of Honolulu;2025-11-20 01:34:21.26562+00;2025-11-20 01:34:21.26562+00;2babc540-acbb-4012-a198-971125628657
b95d0d38-1f9d-4cb2-ab6d-5bf4700968ce;agency;"""Capital Metro"" transit news OR announcement OR contract";"{""date_range"":""past_month"",""location"":""Austin, TX""}";e7660d6e-3bb7-4321-86fd-376201e630d0;;daily;;2025-11-20 01:34:21.962681+00;true;medium;0;0;0;0;;"[""agency-news"",""general""]";General news for Capital Metro;2025-11-20 01:34:21.962681+00;2025-11-20 01:34:21.962681+00;2babc540-acbb-4012-a198-971125628657
23c0526b-32c1-4f6a-8154-a1b4860a4a75;agency;"""Metropolitan Council"" (RFP OR ""request for proposals"" OR ""contract award"" OR procurement)";"{""date_range"":""past_week"",""location"":""Saint Paul, MN""}";a179dae5-3a54-47a7-8186-a95b1ece91f8;;daily;;2025-11-20 01:34:22.676908+00;true;high;0;0;0;0;;"[""rfp"",""procurement"",""contract""]";RFP and contract tracking for Metropolitan Council;2025-11-20 01:34:22.676908+00;2025-11-20 01:34:22.676908+00;2babc540-acbb-4012-a198-971125628657
