id;article_id;provider_id;mention_type;created_at
b674ee30-a797-4e8f-a317-6bb0d6e1726b;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;ca9b66c1-179c-49ea-8b18-b3fe524fa563;;2025-11-09 22:05:58.181907+00
dc1350f2-9ca1-4fe4-9e15-b1c4525feb87;845cae82-0056-4895-a5e0-b3be42663390;4376e93d-92f3-4fdf-89de-4f344b89d6de;;2025-11-11 17:24:12.255986+00
619a8d2d-1e90-4e6e-9677-0d4e797587e0;845cae82-0056-4895-a5e0-b3be42663390;f1093e19-eedf-48ba-9837-ebdb1a52ac8f;;2025-11-11 17:24:12.255986+00
8ce521da-735d-43ee-a86e-71262d56cdf9;845cae82-0056-4895-a5e0-b3be42663390;130bb61b-2491-4f26-9ab4-e72822de7de5;;2025-11-11 17:24:12.255986+00
53f17bf9-9863-471b-8423-790d6c424bed;bbc9e488-43cd-4280-a30d-fd280d628eb7;c7f04106-ad28-41f8-807e-80a9545be6d5;;2025-11-11 17:32:07.980001+00
c822c4f2-5458-446b-9f28-bcf464789cf2;bbc9e488-43cd-4280-a30d-fd280d628eb7;d5676641-9caa-4674-b829-e51b524ecf39;;2025-11-11 17:32:07.980001+00
960edac5-f176-42ca-955f-c4ebf9a1b892;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;f2aa018c-d261-431f-9384-3262ea7d14f6;;2025-11-11 18:37:28.643199+00
81866380-13ca-490f-aaef-56da69e11d26;d0632956-a51e-4b1d-b4d6-d588a6e5b33b;cc802af4-e9cc-4e3f-9a13-136a6e064b3d;;2025-11-11 18:37:28.643199+00
4cd042fb-e549-42d1-8f09-a01191f45fa5;86d47732-7e9c-4cdc-b45b-d7e2cd037312;ae6867f8-b9b6-4cf8-a09d-bcb02debb5c6;;2025-11-11 18:45:43.072432+00
f2269e0d-6fa5-4cba-83e8-16cbaea3ae01;86d47732-7e9c-4cdc-b45b-d7e2cd037312;4a029a58-2eea-46b3-9376-8d2d0e2f18e9;;2025-11-11 18:45:43.072432+00
821c5d7a-dbb6-408f-9dc0-23f206ec7b3e;ad3f650f-8498-43bf-b73a-cd18b408bebb;c49e4985-d51b-416d-b8e9-7219ee38f74f;;2025-11-13 16:11:05.298407+00
6b25957b-d4ff-4ea2-a8af-9b3d3cacafd0;ad3f650f-8498-43bf-b73a-cd18b408bebb;c2e815b0-684e-477c-8266-0ad4955e03d4;;2025-11-13 16:11:05.298407+00
d0269e18-c490-4128-9b04-817f421830f0;ab61f0ce-5e25-4da1-80c3-0d585d480217;ccfd21be-b7de-4cb1-a063-e7b8ba2a4a3e;;2025-11-20 01:33:01.809686+00
cdeb63b8-747d-49b4-8618-3cab0f0bebae;d0cb70df-3608-45f4-82f6-2963eb3c3e86;0c89dd30-bfe2-48ed-a320-3767f01b17f5;;2025-11-20 04:36:59.494895+00
00607171-7de6-4c05-abda-02a312344426;c6ee0762-b035-4ad0-a7a2-c9563d3d8a9c;6710c046-4d3d-4b46-a04e-c8c554f58978;mentioned;2026-01-04 16:34:47.895915+00
b2686552-c72e-4238-bcd6-ffe43c105e7c;5fe92001-348f-42bb-87f8-c3b03d95f9ce;130bb61b-2491-4f26-9ab4-e72822de7de5;mentioned;2026-01-04 16:36:03.029401+00
5fa2379d-2cd5-4d62-9ae5-afdedbeedb0a;5fe92001-348f-42bb-87f8-c3b03d95f9ce;cc802af4-e9cc-4e3f-9a13-136a6e064b3d;mentioned;2026-01-04 16:36:03.029401+00
