id;article_id;status;last_processed_at;error_message;created_at;updated_at
229de869-2676-48e0-bc0b-9c854d8f8a1a;033719f8-5f31-4e68-b89e-50bf7841c8d1;pending;;;2025-11-09 19:52:22.540791+00;2025-11-09 22:05:42.819005+00
7ec69516-6d79-4500-9a79-90c31fd4e228;0f47580d-c9be-4531-b5cc-3e1429fe8414;pending;;;2025-11-09 19:52:23.437465+00;2025-11-09 22:05:42.963051+00
139a9077-b79a-4673-8c2b-cc6f055ec480;cd2afe5b-f3bf-42f2-a9db-da4b081618cd;pending;;;2025-11-09 19:52:22.815862+00;2025-11-09 22:05:43.095618+00
a7465e37-426c-494e-a329-98d4bf5dc09d;6077692a-a454-45bd-b250-c5a5585e7772;pending;;;2025-11-09 19:52:22.94044+00;2025-11-09 22:05:43.233298+00
3ea1373d-b0dd-41da-a3a3-d802645b1846;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;pending;;;2025-11-09 19:52:23.068163+00;2025-11-09 22:05:43.373555+00
cfa408a0-a2b9-47eb-b1a3-fde528bace7a;937579da-2b97-4086-876c-98e48207cb61;pending;;;2025-11-09 19:52:23.187436+00;2025-11-09 22:05:43.511399+00
30df2de6-77fe-49d8-a128-73f7ca2f853d;1330e6af-1758-4e70-985a-dc38d1b57bf2;pending;;;2025-11-09 19:52:23.316224+00;2025-11-09 22:05:43.646525+00
eae630e0-8027-4cfd-b7a6-19cc94119ef1;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;pending;;;2025-11-09 19:52:23.561368+00;2025-11-09 22:05:43.776172+00
94105e4b-f66f-4716-84f9-023b0ceaf3c6;e5d33dd7-8668-4622-afab-da4595713567;pending;;;2025-11-09 19:52:23.677625+00;2025-11-09 22:05:43.904878+00
ce0a6711-ab46-4476-8c2c-3c80c0b1b076;9b369357-feb1-4ac7-bd64-b4bd17997fc0;pending;;;2025-11-09 19:52:23.804091+00;2025-11-09 22:05:44.041234+00
9e002fea-192b-440a-afbc-faf47b8f8ac5;a66877d1-f4ba-4d0f-b799-8983066eb905;pending;;;2025-11-09 19:52:22.692426+00;2025-11-09 22:05:44.164011+00
e080167d-e89a-42ac-aa30-4f821283e33e;6e845d49-d789-4f8b-8d04-fc1902c3c86d;pending;;;2025-11-09 19:52:23.927168+00;2025-11-09 22:05:44.295117+00
631fe8ed-1ac0-4ec6-8e9c-8d2a163b1ad1;4c3cc6cb-a681-46f4-856a-e566484cdd70;pending;;;2025-11-09 19:52:24.054434+00;2025-11-09 22:05:44.41799+00
d207e210-f084-4540-8585-8a27910ed288;552ab9a2-8d9b-4451-a2f0-2f60840b11ac;pending;;;2025-11-09 19:52:24.329408+00;2025-11-09 22:05:44.541846+00
57d14c93-d468-4e4f-a1c5-73232edd59d3;4d3de57d-4f4b-4e99-b425-5868da2509d5;pending;;;2025-11-09 19:52:24.182376+00;2025-11-09 22:05:44.662882+00
