id;agency_id;last_search_at;last_search_run_id;overall_confidence;total_opportunities_found;procurement_portal_url;has_active_rfps;next_search_due;search_priority;notes;created_at;updated_at;crawl_frequency;crawl_enabled;crawl_error;pages_crawled;is_planning_mode;planning_mode_reason;technology_upgrade_planned;service_model_change_planned
27767748-6f22-4903-a65a-98ac85d4efbc;df7a0939-59f0-4af3-b73a-9c7e311c3875;2026-03-01 06:01:07.552+00;9a3fa238-6f9b-4d5e-ac74-696dd682c0f7;0.6000000000000001;3;;false;2026-03-08 06:01:07.552+00;medium;;2025-12-17 23:09:05.18738+00;2026-03-01 06:01:07.601496+00;daily;true;;0;false;;false;false
52da7b16-5ba9-490b-ad18-e7cbb141ee29;2fc17da0-277a-42f8-b519-ae3cd8039e11;2026-03-01 06:01:20.245+00;0f6698b4-59bc-4d0c-b6ea-33d50e5653f1;0.9;10;;false;2026-03-08 06:01:20.245+00;medium;;2025-12-17 23:10:47.231593+00;2026-03-01 06:01:20.265436+00;daily;true;;0;false;;false;false
c9cac84f-a06f-41bc-a70b-d3820c8cf25d;dc154c04-c116-4a1e-a370-ade4c0d29aaa;2026-01-15 06:03:18.243+00;b80f81fa-0738-4270-985c-c4cc8386cd55;0.2;0;;false;2026-01-22 06:03:18.243+00;medium;;2025-12-17 23:11:22.218616+00;2026-01-15 06:03:18.271137+00;daily;true;;0;false;;false;false
