id;article_id;agency_id;mention_type;created_at
a91f1435-283c-4e85-8892-63a19627a24e;28ec98ef-58b3-4d63-96dd-4b4774c744bf;5b3dd96c-aa8e-453b-8aea-1f3c8c9c5a8a;;2025-11-13 16:53:29.657751+00
9c06e993-13cf-4bc4-b001-89ac844bc851;28ec98ef-58b3-4d63-96dd-4b4774c744bf;8fe97232-f86c-4878-a901-2886c996b91b;;2025-11-13 16:53:29.657751+00
accb7491-4a8a-4238-9de7-d46cd96cc22a;d08684f0-b658-42a7-82d1-2c0c959b751c;1b6423eb-dfe5-4e48-aa9a-1c5296bf00ff;;2025-11-13 18:33:52.192757+00
7e318e12-b9b7-494a-9fc9-7a4431974d21;141fe870-9f69-4db1-add1-de950e91461d;9e6539d3-2a9f-4f72-95ea-dcff71755de7;;2025-11-20 01:23:14.04372+00
e83413f1-b935-4513-bcd4-6b81dd8ca996;141fe870-9f69-4db1-add1-de950e91461d;f575051c-7644-4c8e-8817-ffcef8ce3956;;2025-11-20 01:23:14.04372+00
4295c82a-f49a-4458-be1f-a27cf5fd5f18;ab61f0ce-5e25-4da1-80c3-0d585d480217;d22184a5-014e-40ac-9d5c-0ebb38b7544f;;2025-11-20 01:33:01.20001+00
fff9c4a4-f05c-4ffe-a620-221aef21fbd9;d0cb70df-3608-45f4-82f6-2963eb3c3e86;0eca4723-4a2c-49c9-8e9a-9091aa3a0451;;2025-11-20 04:36:58.554522+00
25a980cc-2e86-4b65-b819-af3f8c36cede;d0cb70df-3608-45f4-82f6-2963eb3c3e86;d4bb566e-9432-4001-a209-c39d33eab646;;2025-11-20 04:36:58.554522+00
bc082ff7-0450-4960-b797-3c7bffef95ae;ee9d76e7-690d-4d0e-8db8-456d1214d364;281525a9-47fd-45e6-bd5f-32770c1ef24d;;2025-11-20 04:53:15.588482+00
28cef24e-de9b-4493-a84d-e81da325b286;ee9d76e7-690d-4d0e-8db8-456d1214d364;394ce366-ef13-4040-b9f7-9c9aaaccdedb;;2025-11-20 04:53:15.588482+00
806776ae-7b1c-411e-9579-51e371cf4b4a;ee9d76e7-690d-4d0e-8db8-456d1214d364;b8539d28-3a5c-4aa6-8797-b4ff5c8999cc;;2025-11-20 04:53:15.588482+00
0c8fd967-a01a-4b80-a527-f13662f85497;ee9d76e7-690d-4d0e-8db8-456d1214d364;c1d214fb-a1bb-451a-9a11-388ec147789a;;2025-11-20 04:53:15.588482+00
0757ff2a-80bd-4810-8be9-328f77ff52b6;ee9d76e7-690d-4d0e-8db8-456d1214d364;df7a0939-59f0-4af3-b73a-9c7e311c3875;primary;2025-12-07 15:11:36.558307+00
ad8adba6-dce3-4eff-97b2-2490cd734e5d;dbc6f3aa-6b48-46da-9211-2f75fc419df1;df7a0939-59f0-4af3-b73a-9c7e311c3875;primary;2025-12-07 15:11:36.558307+00
6c91b845-df8c-407e-9f0b-6433079cdd73;85aa91af-eab4-435d-8077-df8d3a02aa83;df7a0939-59f0-4af3-b73a-9c7e311c3875;primary;2025-12-07 15:11:36.558307+00
a06e47a8-f48b-4ea9-9b7c-ce5f0bf803c5;62bdd233-77e3-4a68-a3a2-98e3ba607a4f;df7a0939-59f0-4af3-b73a-9c7e311c3875;primary;2025-12-07 15:11:36.558307+00
fae64c81-dd86-481c-a743-905a2b3821a2;cfba466e-f228-4123-8a6b-93e7938969db;a4ef0686-668a-4559-abdc-3c03f475788e;mentioned;2025-12-19 20:35:25.825439+00
2519f412-5abe-4c67-8ffa-9ee763ba277e;b29f6586-40fb-47fa-92b5-df2f2f963214;9b08bfa5-fdd4-438f-a0f3-ed048003de68;mentioned;2026-01-04 16:38:27.564236+00
7e048422-c81a-4b37-b8c6-b8219c0f373f;d794cb24-3b66-49e7-880a-2e6351d50b02;301d4fbd-840e-4bf5-95c7-f641abf688d7;;2026-01-09 17:06:52.310991+00
