id;article_id;vertical;created_at
36e6303b-6d5b-4618-a8c6-b53b156a16ae;552ab9a2-8d9b-4451-a2f0-2f60840b11ac;school;2025-11-09 22:05:50.252497+00
aed5a3a0-1786-46fc-a9fd-a60fc49e3937;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;microtransit;2025-11-09 22:05:51.239511+00
0b5271c8-1076-485c-a058-1fab4ff8b963;34c7deae-ae0a-4823-a923-1deb2fcd0c9b;fixed-route;2025-11-09 22:05:51.239511+00
fca6d5c3-55c2-4d3f-a039-adcd5b5d7ee5;9b369357-feb1-4ac7-bd64-b4bd17997fc0;paratransit;2025-11-09 22:05:54.156032+00
0546fd27-01cd-43d3-9a6b-6e7c3fa982a1;9b369357-feb1-4ac7-bd64-b4bd17997fc0;corporate-shuttles;2025-11-09 22:05:54.156032+00
4d52ec5f-9f89-48a6-8faf-b218a3871f79;9b369357-feb1-4ac7-bd64-b4bd17997fc0;school;2025-11-09 22:05:54.156032+00
f177a666-95ee-4c60-8674-2dc93e06ffd4;9b369357-feb1-4ac7-bd64-b4bd17997fc0;government;2025-11-09 22:05:54.156032+00
f1c6ebb9-a933-44d1-9046-3355be1322dd;937579da-2b97-4086-876c-98e48207cb61;paratransit;2025-11-09 22:05:55.005972+00
94973239-ee6e-4c1d-85c7-03ed8d62bb15;937579da-2b97-4086-876c-98e48207cb61;healthcare;2025-11-09 22:05:55.005972+00
fd4caf06-a36c-4354-8cfa-4f369fe68d0d;033719f8-5f31-4e68-b89e-50bf7841c8d1;paratransit;2025-11-09 22:05:56.196835+00
d291d81a-d8dd-49e6-816d-e3631bb501cc;033719f8-5f31-4e68-b89e-50bf7841c8d1;fixed-route;2025-11-09 22:05:56.196835+00
218651e5-d3a1-4b0c-856d-1e628029b0f7;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;fixed-route;2025-11-09 22:05:58.449029+00
f11742ef-6890-49dd-9426-cd60c6c92592;074a9ee8-5e1a-4a03-a1c5-d722fd3a261b;government;2025-11-09 22:05:58.449029+00
