id;automated_search_id;source_url;title;description;author;published_date;excerpt;image_url;exa_id;exa_score;exa_metadata;processed;added_to_pending;pending_article_id;relevance_score;duplicate_of;skip_reason;discovered_at;processed_at;created_at;updated_at;ai_confidence_score;score_source;final_score
0a2d5eb1-7932-4a8b-ba63-9de22b29a77d;ffd836f6-667b-4169-a34a-a3b15010c38d;https://www.mta.info/press-release/icymi-governor-hochul-announces-mta-purchase-378-modern-subway-cars;ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars;"[Skip to main content](https://www.mta.info/www.mta.info#main-content)

1. [Home](https://www.mta.info/)
2. [Press Releases](https://www.mta.info/press-release)
3. ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars

# ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars

New York City Transit

Updated Oct 31, 2025 9:30 a.m.

### _R268 Cars Improve Service Reliability, Performance, Customer Experience_

### _New Cars Will Support Continued Modernization of ";;2025-10-31 00:00:00+00;"[Skip to main content](https://www.mta.info/www.mta.info#main-content)

1. [Home](https://www.mta.info/)
2. [Press Releases](https://www.mta.info/press-release)
3. ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars

# ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars

New York City Transit

Updated Oct 31, 2025 9:30";;https://www.mta.info/press-release/icymi-governor-hochul-announces-mta-purchase-378-modern-subway-cars;;"{""highlightScores"":[1],""highlights"":[""[Skip to main content](https://www.mta.info/www.mta.info#main-content)\n\n1. [Home](https://www.mta.info/)\n2. [Press Releases](https://www.mta.info/press-release)\n3. ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars\n\n# ICYMI: Governor Hochul Announces MTA to Purchase 378 Modern Subway Cars\n\nNew York City Transit\n\nUpdated Oct 31, 2025 9:30""]}";true;false;;;;Processing error: AI analysis error: 404;2025-11-20 03:53:47.994+00;2025-11-20 04:34:12.999662+00;2025-11-20 03:53:48.088431+00;2025-11-20 04:34:12.999662+00;;exa_api;
ea180912-c1aa-4c27-b078-a528540773ea;ffd836f6-667b-4169-a34a-a3b15010c38d;https://global.kawasaki.com/en/corp/newsroom/news/detail/?f=20251105_5050;New York City Transit to Award Contract for 378 ...;"
 
 New York City Transit to Award Contract for 378 New Generation Subway Cars 
 
 Nov. 05, 2025
 
 
 
 R211 subway cars with the same specifications as the R268 
 Kawasaki Rail Car Manufacturing Co., Ltd. (wholly-owned subsidiary of Kawasaki Heavy Industries, Ltd.) announced that Kawasaki Rail Car, Inc. (KRC), its U.S. subsidiary based in Yonkers, New York, has been approved by the Metropolitan Transportation Authority’s (MTA) New York City Transit (NYCT * ) for the award of an order for 378 ne";;2025-11-05 00:00:00+00;"
 
 New York City Transit to Award Contract for 378 New Generation Subway Cars 
 
 Nov. 05, 2025
 
 
 
 R211 subway cars with the same specifications as the R268 
 Kawasaki Rail Car Manufacturing Co., Ltd. (wholly-owned subsidiary of Kawasaki Heavy Industries, Ltd.) announced that Kawasaki Rail Car, Inc. (KRC), its U.S. subsidiary based in Yonkers, New York,";;https://global.kawasaki.com/en/corp/newsroom/news/detail/?f=20251105_5050;;"{""highlightScores"":[1],""highlights"":[""\n \n New York City Transit to Award Contract for 378 New Generation Subway Cars \n \n Nov. 05, 2025\n \n \n \n R211 subway cars with the same specifications as the R268 \n Kawasaki Rail Car Manufacturing Co., Ltd. (wholly-owned subsidiary of Kawasaki Heavy Industries, Ltd.) announced that Kawasaki Rail Car, Inc. (KRC), its U.S. subsidiary based in Yonkers, New York,""]}";true;false;;;;Processing error: AI analysis error: 404;2025-11-20 03:53:47.291+00;2025-11-20 04:34:30.144856+00;2025-11-20 03:53:47.376947+00;2025-11-20 04:34:30.144856+00;;exa_api;
51db73f1-21cc-44de-8a2a-419a7dd41086;d4e32134-ad9b-44bb-8db4-ad595ae6fa22;https://www.govcb.com/statebrowse/state.bids-New%20York-Metropolitan%20Transportation%20Authority;Metropolitan Transportation Authority (New York) Government Bid and Contract Opportunities;"State & Local
Federal

Search Title Only

All StatesAlabamaAlaskaArizonaArkansasCaliforniaColoradoConnecticutDelawareDistrict of ColumbiaFloridaGeorgiaHawaiiIdahoIllinoisIndianaIowaKansasKentuckyLouisianaMaineMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew YorkNorth CarolinaNorth DakotaOhioOklahomaOregonPennsylvaniaRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUtahVermontVirginiaWashingtonWest VirginiaWisconsinWyomingAlbert";;2025-12-09 00:00:00+00;"State & Local
Federal

Search Title Only

All StatesAlabamaAlaskaArizonaArkansasCaliforniaColoradoConnecticutDelawareDistrict of ColumbiaFloridaGeorgiaHawaiiIdahoIllinoisIndianaIowaKansasKentuckyLouisianaMaineMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew YorkNorth CarolinaNorth DakotaOhioOk";;https://www.govcb.com/statebrowse/state.bids-New%20York-Metropolitan%20Transportation%20Authority;;"{""highlightScores"":[1],""highlights"":[""State & Local\nFederal\n\nSearch Title Only\n\nAll StatesAlabamaAlaskaArizonaArkansasCaliforniaColoradoConnecticutDelawareDistrict of ColumbiaFloridaGeorgiaHawaiiIdahoIllinoisIndianaIowaKansasKentuckyLouisianaMaineMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew YorkNorth CarolinaNorth DakotaOhioOk""]}";true;true;1a62cd13-4d23-466a-b6bd-9d6c8f372441;;;;2025-11-20 03:53:53.061+00;2025-11-20 04:39:58.084605+00;2025-11-20 03:53:53.12637+00;2025-11-20 04:39:58.084605+00;80;composite;80
1241b70f-ea44-4219-a709-4cb346c34426;d4e32134-ad9b-44bb-8db4-ad595ae6fa22;https://www.mymta.info/psp/PAPRD_31/GUEST/ESRP/c/SCP_PUBLIC_MENU_FL.SCP_PUB_BID_CMP_FL.GBL?FolderPath=PORTAL_ROOT_OBJECT.NUI_STRUCTURE_CONTENT.PORTAL_GROUPLETS.EP_COSP_PUBLIC_HOME_FL_ESRP.EP_SUP_PUBLIC_BID_OPPRTNI_ESRP&IsFolder=false&IgnoreParamTempl=FolderPath%2CIsFolder;Bidding Event Information;"
 You must have cookies enabled in order to sign in to your PeopleSoft application. 
 Return to Sign In with cookies enabled. If your attempt fails, please contact your System Administrator. 
 Sign in to PeopleSoft 
";;2025-11-19 13:53:51.381+00;"
 You must have cookies enabled in order to sign in to your PeopleSoft application. 
 Return to Sign In with cookies enabled. If your attempt fails, please contact your System Administrator. 
 Sign in to PeopleSoft 
";;https://www.mymta.info/psp/PAPRD_31/GUEST/ESRP/c/SCP_PUBLIC_MENU_FL.SCP_PUB_BID_CMP_FL.GBL?FolderPath=PORTAL_ROOT_OBJECT.NUI_STRUCTURE_CONTENT.PORTAL_GROUPLETS.EP_COSP_PUBLIC_HOME_FL_ESRP.EP_SUP_PUBLIC_BID_OPPRTNI_ESRP&IsFolder=false&IgnoreParamTempl=FolderPath%2CIsFolder;;"{""highlightScores"":[1],""highlights"":[""\n You must have cookies enabled in order to sign in to your PeopleSoft application. \n Return to Sign In with cookies enabled. If your attempt fails, please contact your System Administrator. \n Sign in to PeopleSoft \n""]}";false;false;;;;;2025-11-20 03:53:52.593+00;;2025-11-20 03:53:52.671085+00;2025-11-20 03:53:52.671085+00;;exa_api;
3e5f8566-a8db-4f0b-a2bd-282531f59a88;d4e32134-ad9b-44bb-8db4-ad595ae6fa22;https://www.mta.info/doing-business-with-us/procurement/discretionary-solicitations;MTA Procurement Discretionary Solicitations;"[Skip to main content](https://www.mta.info/www.mta.info#main-content)

1. [Home](https://www.mta.info/)
2. [Doing business with the MTA](https://www.mta.info/doing-business-with-us)
3. [MTA Procurement](https://www.mta.info/doing-business-with-us/procurement)
4. MTA Procurement Discretionary Solicitations

# MTA Procurement Discretionary Solicitations

Updated Nov 18, 2025

## Discretionary Procurements

The Procurement Opportunities below will be awarded utilizing MTA Procurement’s Discretiona";;2025-12-05 00:00:00+00;"[Skip to main content](https://www.mta.info/www.mta.info#main-content)

1. [Home](https://www.mta.info/)
2. [Doing business with the MTA](https://www.mta.info/doing-business-with-us)
3. [MTA Procurement](https://www.mta.info/doing-business-with-us/procurement)
4. MTA Procurement Discretionary Solicitations

# MTA Procurement Discretionary Solicitations

Upda";;https://www.mta.info/doing-business-with-us/procurement/discretionary-solicitations;;"{""highlightScores"":[1],""highlights"":[""[Skip to main content](https://www.mta.info/www.mta.info#main-content)\n\n1. [Home](https://www.mta.info/)\n2. [Doing business with the MTA](https://www.mta.info/doing-business-with-us)\n3. [MTA Procurement](https://www.mta.info/doing-business-with-us/procurement)\n4. MTA Procurement Discretionary Solicitations\n\n# MTA Procurement Discretionary Solicitations\n\nUpda""]}";false;false;;;;;2025-11-20 03:53:53.293+00;;2025-11-20 03:53:53.362275+00;2025-11-20 03:53:53.362275+00;;exa_api;
49fb8498-c9a9-4d5e-9b6c-420db7793453;d4e32134-ad9b-44bb-8db4-ad595ae6fa22;https://www.bidnetdirect.com/new-york;New York Bids, State Government Contracts & RFPs - Empire;"Loading...

Ok

[Skip to main content](https://www.bidnetdirect.com/www.bidnetdirect.com#content)

### Empire State Purchasing Group

Welcome to the Empire State Purchasing Group!

All participating local government purchasing departments invite vendors to register for exclusive access to RFPs, bids and awards on the bid system. Registered vendors benefit from more bid information in a central location, less paperwork and an easier method of doing business with New York local governments. [Pleas";;2025-12-05 00:00:00+00;"Loading...

Ok

[Skip to main content](https://www.bidnetdirect.com/www.bidnetdirect.com#content)

### Empire State Purchasing Group

Welcome to the Empire State Purchasing Group!

All participating local government purchasing departments invite vendors to register for exclusive access to RFPs, bids and awards on the bid system. Registered vendors benefit fr";;https://www.bidnetdirect.com/new-york;;"{""highlightScores"":[1],""highlights"":[""Loading...\n\nOk\n\n[Skip to main content](https://www.bidnetdirect.com/www.bidnetdirect.com#content)\n\n### Empire State Purchasing Group\n\nWelcome to the Empire State Purchasing Group!\n\nAll participating local government purchasing departments invite vendors to register for exclusive access to RFPs, bids and awards on the bid system. Registered vendors benefit fr""]}";false;false;;;;;2025-11-20 03:53:53.957+00;;2025-11-20 03:53:54.016494+00;2025-11-20 03:53:54.016494+00;;exa_api;
b8ed301f-0ff9-4713-a8ea-7f23a546d1e7;ffd836f6-667b-4169-a34a-a3b15010c38d;https://www.mta.info/document/190501;MTA-NEW YORK CITY TRANSIT;"10/29/2025
Solicitation Title: Automatic Train Supervision system developed by Siemens Mobility, Inc. (Siemens) for New York City
Transit Subway’s B-Division (ATS-B), and for the deployment of 5G Carborne Data Communication System (DCS)
equipment on its R160 and R179 subway cars.
Description :The Metropolitan Transportation Authority (MTA), acting by MTA Construction and Development Company,
intends to award a non-competitive contract for the implementation of enhancements to the Automatic Train";Sndra McLean;2025-10-29 00:00:00+00;"10/29/2025
Solicitation Title: Automatic Train Supervision system developed by Siemens Mobility, Inc. (Siemens) for New York City
Transit Subway’s B-Division (ATS-B), and for the deployment of 5G Carborne Data Communication System (DCS)
equipment on its R160 and R179 subway cars.
Description :The Metropolitan Transportation Authority (MTA), acting by MTA Con";;https://www.mta.info/document/190501;;"{""highlightScores"":[1],""highlights"":[""10/29/2025\nSolicitation Title: Automatic Train Supervision system developed by Siemens Mobility, Inc. (Siemens) for New York City\nTransit Subway’s B-Division (ATS-B), and for the deployment of 5G Carborne Data Communication System (DCS)\nequipment on its R160 and R179 subway cars.\nDescription :The Metropolitan Transportation Authority (MTA), acting by MTA Con""]}";true;true;a850d79c-3a20-40b0-b583-2c51639738f2;;;;2025-11-20 03:53:49.791+00;2025-11-20 04:40:13.955513+00;2025-11-20 03:53:49.862143+00;2025-11-20 04:40:13.955513+00;100;composite;100
2548e3b2-0f08-4d6c-a43e-4dc755b8c043;ffd836f6-667b-4169-a34a-a3b15010c38d;https://www.timeout.com/newyork/news/nyc-just-bought-378-modern-subway-cars-but-they-wont-arrive-until-2030-110425;NYC Buys 378 Modern Subway Cars: Here’s When You'll Start Seeing Them;"[Go to the content](https://www.timeout.com/www.timeout.com#main-container) [Go to the footer](https://www.timeout.com/www.timeout.com#site-footer)

No thanks

Subscribe

🙌Awesome, you're subscribed!

Thanks for subscribing! Look out for your first newsletter in your inbox soon!

The best of New York straight to your inbox

We help you navigate a myriad of possibilities. Sign up for our newsletter for the best of the city.

Enter email address

Déjà vu! We already have this email. Try another?
";Laura Ratliff;2025-11-04 00:00:00+00;"[Go to the content](https://www.timeout.com/www.timeout.com#main-container) [Go to the footer](https://www.timeout.com/www.timeout.com#site-footer)

No thanks

Subscribe

🙌Awesome, you're subscribed!

Thanks for subscribing! Look out for your first newsletter in your inbox soon!

The best of New York straight to your inbox

We help you navigate a myriad of ";;https://www.timeout.com/newyork/news/nyc-just-bought-378-modern-subway-cars-but-they-wont-arrive-until-2030-110425;;"{""highlightScores"":[1],""highlights"":[""[Go to the content](https://www.timeout.com/www.timeout.com#main-container) [Go to the footer](https://www.timeout.com/www.timeout.com#site-footer)\n\nNo thanks\n\nSubscribe\n\n🙌Awesome, you're subscribed!\n\nThanks for subscribing! Look out for your first newsletter in your inbox soon!\n\nThe best of New York straight to your inbox\n\nWe help you navigate a myriad of ""]}";false;false;;;;;2025-11-20 03:53:49.226+00;;2025-11-20 03:53:49.309386+00;2025-11-20 03:53:49.309386+00;;exa_api;
16d560e1-86a3-4add-96cf-1d093f3bc870;ffd836f6-667b-4169-a34a-a3b15010c38d;https://www.mta.info/document/191701;MTA-NEW YORK CITY TRANSIT;"DATE: 11/10/2025
CONTRACT SOLICITATION NOTICE/PROJECT OVERVIEW
MTA-C&D IS NOW ADVERTISING FOR THE FOLLOWING:
SSE EVENT: 0000527910 OPENING/DUE DATE: 12/17/2025
TYPE OF SOLICITATION: RFP DOCUMENT AVAILABILITY DATE: 11/10/2025
SOLICITATION TITLE: Design-Build Services for ADA Upgrades - Package 10.
DESCRIPTION: The Metropolitan Transportation Authority (“MTA”), by and through the MTA Construction and
Development Company (“MTA C&D”), will be issuing a two-step Request for Proposals (“RFP”), in orde";Sndra McLean;2025-11-10 00:00:00+00;"DATE: 11/10/2025
CONTRACT SOLICITATION NOTICE/PROJECT OVERVIEW
MTA-C&D IS NOW ADVERTISING FOR THE FOLLOWING:
SSE EVENT: 0000527910 OPENING/DUE DATE: 12/17/2025
TYPE OF SOLICITATION: RFP DOCUMENT AVAILABILITY DATE: 11/10/2025
SOLICITATION TITLE: Design-Build Services for ADA Upgrades - Package 10.
DESCRIPTION: The Metropolitan Transportation Authority (“MTA”)";;https://www.mta.info/document/191701;;"{""highlightScores"":[1],""highlights"":[""DATE: 11/10/2025\nCONTRACT SOLICITATION NOTICE/PROJECT OVERVIEW\nMTA-C&D IS NOW ADVERTISING FOR THE FOLLOWING:\nSSE EVENT: 0000527910 OPENING/DUE DATE: 12/17/2025\nTYPE OF SOLICITATION: RFP DOCUMENT AVAILABILITY DATE: 11/10/2025\nSOLICITATION TITLE: Design-Build Services for ADA Upgrades - Package 10.\nDESCRIPTION: The Metropolitan Transportation Authority (“MTA”)""]}";false;false;;;;;2025-11-20 03:53:50.044+00;;2025-11-20 03:53:50.130357+00;2025-11-20 03:53:50.130357+00;;exa_api;
4bbe7123-544d-4ee5-8621-7a13e35d3be4;d4e32134-ad9b-44bb-8db4-ad595ae6fa22;https://www.mta.info/document/191991;contract solicitation notice/project overview;"DATE: 11/13/2025
CONTRACT SOLICITATION NOTICE/PROJECT OVERVIEW
MTA-C&D IS NOW ADVERTISING FOR THE FOLLOWING:
SSE EVENT#: D81759 OPENING/DUE DATE: 12/29/2025
TYPE OF SOLICITATION: RFP DOCUMENT AVAILABILITY DATE: 11/13/2025
SOLICITATION TITLE: Design Services for the Rehabilitation and Expansion of the Livonia Maintenance
Facility
DESCRIPTION: The Metropolitan Transportation Authority (“MTA”), acting by and through MTA Construction and
Development Company (“MTA C&D”), seeks to engage an experience";Sndra McLean;2025-11-14 03:53:51.381+00;"DATE: 11/13/2025
CONTRACT SOLICITATION NOTICE/PROJECT OVERVIEW
MTA-C&D IS NOW ADVERTISING FOR THE FOLLOWING:
SSE EVENT#: D81759 OPENING/DUE DATE: 12/29/2025
TYPE OF SOLICITATION: RFP DOCUMENT AVAILABILITY DATE: 11/13/2025
SOLICITATION TITLE: Design Services for the Rehabilitation and Expansion of the Livonia Maintenance
Facility
DESCRIPTION: The Metropolitan";;https://www.mta.info/document/191991;;"{""highlightScores"":[1],""highlights"":[""DATE: 11/13/2025\nCONTRACT SOLICITATION NOTICE/PROJECT OVERVIEW\nMTA-C&D IS NOW ADVERTISING FOR THE FOLLOWING:\nSSE EVENT#: D81759 OPENING/DUE DATE: 12/29/2025\nTYPE OF SOLICITATION: RFP DOCUMENT AVAILABILITY DATE: 11/13/2025\nSOLICITATION TITLE: Design Services for the Rehabilitation and Expansion of the Livonia Maintenance\nFacility\nDESCRIPTION: The Metropolitan""]}";false;false;;;;;2025-11-20 03:53:52.104+00;;2025-11-20 03:53:52.171613+00;2025-11-20 03:53:52.171613+00;;exa_api;
